지시번호,거래처,제품코드,층수,수량,납기일,담당자,상태,현재공정
WO-2607-001,(주)삼성전자,PCB-A2401,양면,5000,2026-07-18,김생산,진행중,도금
WO-2607-002,LG이노텍,PCB-B1802,4층,3000,2026-07-20,이제조,진행중,에칭
WO-2607-003,현대모비스,PCB-C3305,양면,8000,2026-07-15,박공정,검사중,전기검사
WO-2607-004,(주)코리아서킷,PCB-D0401,6층,1500,2026-07-25,김생산,대기,재단
WO-2607-005,(주)대덕전자,PCB-E0502,4층,4200,2026-07-22,최작업,진행중,천공(드릴링)
WO-2607-006,(주)삼성전자,PCB-A2401,양면,6000,2026-07-28,이제조,대기,재단
WO-2607-007,LG이노텍,PCB-B1802,4층,2500,2026-07-12,박공정,완료,포장
WO-2607-008,현대모비스,PCB-C3305,양면,7000,2026-07-30,김생산,대기,재단
WO-2607-009,(주)코리아서킷,PCB-D0401,6층,1200,2026-07-16,최작업,보류,표면처리
WO-2607-010,(주)대덕전자,PCB-E0502,4층,3800,2026-07-24,이제조,진행중,외관검사
WO-2607-011,(주)삼성전자,PCB-A2401,양면,4500,2026-08-05,박공정,대기,재단
WO-2607-012,LG이노텍,PCB-B1802,4층,2800,2026-07-10,김생산,완료,포장
