회사명,담당자,금액(만원),성공확률(%),단계,영업담당,우선순위,예상마감일,비고
삼성물산,이부장,12000,80,협상,김영업,높음,2026-07-15,2차 제안 검토 중
LG화학,박상무,8500,60,제안,이세일즈,높음,2026-07-31,
현대자동차,최과장,3200,30,탐색,박딜러,중간,2026-08-15,POC 진행 예정
카카오,김팀장,2000,20,리드,최클로저,낮음,2026-09-01,
네이버,이대리,5500,70,협상,김영업,높음,2026-07-20,계약서 검토 요청
쿠팡,박과장,1800,15,리드,이세일즈,낮음,2026-10-01,
SK하이닉스,정부장,9000,55,제안,최클로저,높음,2026-07-30,
포스코,윤이사,15000,90,계약 완료,김영업,높음,2026-06-30,계약 완료
GS리테일,오대리,2400,40,탐색,박딜러,중간,2026-08-30,
롯데케미칼,한팀장,7200,65,제안,이세일즈,중간,2026-08-01,견적서 발송
CJ제일제당,장부장,3800,45,탐색,최클로저,중간,2026-09-15,
아모레퍼시픽,김팀장,1500,25,리드,박딜러,낮음,2026-10-15,
한화솔루션,신차장,6400,50,제안,김영업,중간,2026-08-20,기술 검증 요청
두산에너빌리티,권부장,11000,35,탐색,최클로저,높음,2026-09-30,경쟁사 비교 중
LG유플러스,민과장,4200,75,협상,이세일즈,높음,2026-07-25,최종 조건 협의
셀트리온,조이사,8800,10,리드,박딜러,중간,2026-11-01,콜드 리드
