그룹,작업명,시작일,종료일,진척률(%),상태,담당자
기획,프로젝트 킥오프 & 범위 확정,2026-05-01,2026-05-10,100,완료,이팀장
기획,요구사항 분석 & 사용자 스토리,2026-05-05,2026-05-20,100,완료,박기획
기획,프로젝트 로드맵 수립,2026-05-18,2026-05-25,90,완료,이팀장
디자인,UI 컨셉 & 와이어프레임,2026-05-20,2026-06-05,100,완료,김디자인
디자인,디자인 시스템 구축,2026-06-01,2026-06-20,75,진행중,최디자인
디자인,프로토타입 및 사용자 테스트,2026-06-15,2026-06-30,30,진행중,김디자인
개발,개발 환경 세팅 & 아키텍처,2026-05-25,2026-06-05,100,완료,이개발
개발,백엔드 API 개발,2026-06-05,2026-07-10,60,진행중,박백엔드
개발,프론트엔드 UI 구현,2026-06-20,2026-07-25,35,진행중,최프론트
개발,데이터베이스 설계 & 마이그레이션,2026-06-01,2026-06-25,80,진행중,이개발
QA,테스트 케이스 작성,2026-07-01,2026-07-15,0,대기,정QA
QA,통합 테스트 & 버그 수정,2026-07-15,2026-08-05,0,대기,정QA
마케팅,런치 마케팅 전략 수립,2026-07-01,2026-07-20,0,대기,강마케팅
마케팅,베타 사용자 모집 & 운영,2026-07-20,2026-08-10,0,대기,강마케팅
운영,MVP 출시 (마일스톤),2026-08-15,2026-08-15,0,대기,이팀장
