일자,라인,제품코드,공정,불량유형,수량,심각도,원인
2026-07-01,1호기,PCB-A2401,에칭,단락(Short),8,중요,설비 파라미터 오류
2026-07-01,3호기,PCB-C3305,도금,도금불량,15,긴급,도금액 농도 이상
2026-07-02,2호기,PCB-B1802,외관검사,이물(Foreign Material),12,경미,오염물질 유입
2026-07-02,4호기,PCB-D0401,전기검사,개방(Open),6,중요,드릴비트 마모
2026-07-03,1호기,PCB-A2401,에칭,단락(Short),10,중요,설비 파라미터 오류
2026-07-03,3호기,PCB-C3305,외관검사,기공(Void),9,경미,원자재 품질 이상
2026-07-04,2호기,PCB-B1802,도금,박리(Peeling),14,긴급,전처리 불충분
2026-07-04,5호기,PCB-E0502,출하검사,치수불량,4,중요,작업자 숙련도 부족
2026-07-05,1호기,PCB-A2401,에칭,단락(Short),7,중요,마스크 손상
2026-07-05,4호기,PCB-D0401,외관검사,변색,5,경미,보관 환경 불량
2026-07-06,3호기,PCB-C3305,도금,도금불량,11,중요,도금액 농도 이상
2026-07-06,2호기,PCB-B1802,전기검사,개방(Open),8,중요,드릴비트 마모
2026-07-07,1호기,PCB-A2401,외관검사,이물(Foreign Material),13,경미,오염물질 유입
2026-07-07,5호기,PCB-E0502,에칭,기공(Void),6,경미,원자재 품질 이상
2026-07-08,4호기,PCB-D0401,도금,박리(Peeling),9,긴급,전처리 불충분
2026-07-08,3호기,PCB-C3305,출하검사,치수불량,3,중요,작업자 숙련도 부족
