팀,목표(Objective),상태,핵심결과(KR),진척률(%)
전사,글로벌 Top-10 SaaS 기업으로 도약,순조로움,연매출 500억 달성,72
전사,글로벌 Top-10 SaaS 기업으로 도약,순조로움,해외 고객 비중 30% 이상,58
전사,글로벌 Top-10 SaaS 기업으로 도약,순조로움,NPS 60 이상 유지,90
영업팀,B2B 신규 고객 파이프라인 2배 확대,순조로움,MQL 1200건 달성,85
영업팀,B2B 신규 고객 파이프라인 2배 확대,순조로움,계약 성사율 25% 이상,68
영업팀,B2B 신규 고객 파이프라인 2배 확대,순조로움,평균 계약 단가 1.5배 증가,45
개발팀,제품 안정성 & 개발 생산성 혁신,위험,서버 다운타임 99.95% SLA 달성,62
개발팀,제품 안정성 & 개발 생산성 혁신,위험,배포 주기 2주→1주 단축,40
개발팀,제품 안정성 & 개발 생산성 혁신,위험,기술 부채 30% 감소,25
마케팅팀,브랜드 인지도 및 리드 생성 최대화,순조로움,웹사이트 월 방문자 50만 달성,78
마케팅팀,브랜드 인지도 및 리드 생성 최대화,순조로움,콘텐츠 오가닉 리드 500건,88
마케팅팀,브랜드 인지도 및 리드 생성 최대화,순조로움,SNS 팔로워 10만 돌파,95
HR팀,최고의 인재를 유치하고 조직 몰입도 향상,지연,핵심인재 이탈률 5% 이하,30
HR팀,최고의 인재를 유치하고 조직 몰입도 향상,지연,eNPS 50 이상,48
HR팀,최고의 인재를 유치하고 조직 몰입도 향상,지연,채용 리드타임 30일 이내,55
개발팀,AI 기능 출시로 제품 차별화,순조로움,AI 보조 기능 3개 출시,100
개발팀,AI 기능 출시로 제품 차별화,순조로움,AI 기능 사용율 40%,62
개발팀,AI 기능 출시로 제품 차별화,순조로움,AI 도입 고객 ARPU +20%,50
